trial_id,estimator,shift,trt_change,gamma2_m,sigma2_m,sigma_ratio,sigma2_ratio
4,chi_DRj,No Covariate Shift,Spline + Effect Modification,1.369120975698835e-22,2.7095912858101983e-4,0.9999999993084503,1
4,chi_gformula,Flexible Covariate Shift,Constant,0,0,0,0
4,chi_gformula,Flexible Covariate Shift,Effect Modification,8.881616561500018e-4,0,0,0
4,chi_gformula,Flexible Covariate Shift,Linear,0,3.2725714285714296e-4,1,1
4,chi_gformula,Flexible Covariate Shift,Linear + Effect Modification,8.911869278366727e-4,3.2725714285714345e-4,0.37733823873282973,0.26860786120454233
4,chi_gformula,Flexible Covariate Shift,Spline,0,2.7095912858101913e-4,1,1
4,chi_gformula,Flexible Covariate Shift,Spline + Effect Modification,8.897263769931459e-4,2.709591285810199e-4,0.3556249431436984,0.23348046675045694
4,chi_gformula,Linear Covariate Shift,Constant,0,0,0,0
4,chi_gformula,Linear Covariate Shift,Effect Modification,1.994544833961524e-4,0,0,0
4,chi_gformula,Linear Covariate Shift,Linear,0,3.2725714285714296e-4,1,1
4,chi_gformula,Linear Covariate Shift,Linear + Effect Modification,2.0067088732930236e-4,3.272571428571435e-4,0.5608670171043957,0.6199435545445583
4,chi_gformula,Linear Covariate Shift,Spline,0,2.7095912858101913e-4,1,1
4,chi_gformula,Linear Covariate Shift,Spline + Effect Modification,1.949644424811834e-4,2.709591285810199e-4,0.5410924238938011,0.5816230733412463
4,chi_gformula,No Covariate Shift,Constant,0,0,0,0
4,chi_gformula,No Covariate Shift,Effect Modification,0,0,0,0
4,chi_gformula,No Covariate Shift,Linear,0,3.2725714285714296e-4,1,1
4,chi_gformula,No Covariate Shift,Linear + Effect Modification,0,3.2725714285714366e-4,1,1
4,chi_gformula,No Covariate Shift,Spline,0,2.7095912858101913e-4,1,1
4,chi_gformula,No Covariate Shift,Spline + Effect Modification,0,2.7095912858102005e-4,1,1
5,chi_DR,Flexible Covariate Shift,Constant,8.082214287925991e-23,0,0,0
5,chi_DR,Flexible Covariate Shift,Effect Modification,5.72169861857144e-4,0,0,0
5,chi_DR,Flexible Covariate Shift,Linear,2.941674279489735e-4,1.092003262189072e-6,0.04912940601083818,0.003649970582686165
5,chi_DR,Flexible Covariate Shift,Linear + Effect Modification,0.0014490222645471653,1.72034077755012e-8,0.0029365386685427895,1.180828445835254e-5
5,chi_DR,Flexible Covariate Shift,Spline,1.9181927703090795e-4,8.544905669435566e-7,0.05200842919756118,0.004366891889029132
5,chi_DR,Flexible Covariate Shift,Spline + Effect Modification,0.0013539383869749298,4.711819573538488e-9,0.0016940380651669358,3.476910292572186e-6
5,chi_DR,Linear Covariate Shift,Constant,1.6464838645117144e-22,0,0,0
5,chi_DR,Linear Covariate Shift,Effect Modification,1.8067771456062713e-4,0,0,0
5,chi_DR,Linear Covariate Shift,Linear,3.01364445712991e-4,7.943775901049948e-7,0.03769889573807763,0.002606191130250825
5,chi_DR,Linear Covariate Shift,Linear + Effect Modification,1.593519220574639e-5,1.3258244329634557e-8,0.024398452847719004,8.67768508962199e-4
5,chi_DR,Linear Covariate Shift,Spline,1.9099820626672714e-4,9.367148007584721e-7,0.05470373644629581,0.004886027475719372
5,chi_DR,Linear Covariate Shift,Spline + Effect Modification,3.926159512545735e-5,8.640349101797168e-9,0.012906866871795895,2.18349104940647e-4
5,chi_DR,No Covariate Shift,Constant,1.3530160339398956e-22,0,0,0
5,chi_DR,No Covariate Shift,Effect Modification,1.8907848075445328e-22,0,0,0
5,chi_DR,No Covariate Shift,Linear,2.982380073170783e-4,4.564276246263199e-7,0.02949327979543559,0.0015176683104532207
5,chi_DR,No Covariate Shift,Linear + Effect Modification,2.985579659588327e-4,3.6737363864967104e-7,0.02890110850446142,0.001242555711709991
5,chi_DR,No Covariate Shift,Spline,1.9121008354102708e-4,2.6116747435234887e-7,0.025951485293308225,0.001355824271539467
5,chi_DR,No Covariate Shift,Spline + Effect Modification,1.9078607338026313e-4,1.512197014495971e-6,0.05802564604390288,0.007753474369508069
5,chi_DRj,Flexible Covariate Shift,Constant,8.082214287925991e-23,0,0,0
5,chi_DRj,Flexible Covariate Shift,Effect Modification,5.72169861857144e-4,0,0,0
5,chi_DRj,Flexible Covariate Shift,Linear,1.205898160068164e-22,2.984571428571429e-4,0.9999999993742286,1
5,chi_DRj,Flexible Covariate Shift,Linear + Effect Modification,5.700184519127995e-4,2.9845714285714367e-4,0.41983180844385465,0.3436877611321344
5,chi_DRj,Flexible Covariate Shift,Spline,2.0770909110723102e-22,1.9154074571413538e-4,0.9999999990645341,1
5,chi_DRj,Flexible Covariate Shift,Spline + Effect Modification,5.694457030368464e-4,1.9154074571413402e-4,0.3670926339502885,0.251736248064336
5,chi_DRj,Linear Covariate Shift,Constant,1.6464838645117144e-22,0,0,0
5,chi_DRj,Linear Covariate Shift,Effect Modification,1.8067771456062713e-4,0,0,0
5,chi_DRj,Linear Covariate Shift,Linear,1.2134417447645073e-22,2.9845714285714275e-4,0.999999999376566,1
5,chi_DRj,Linear Covariate Shift,Linear + Effect Modification,1.773474153696172e-4,2.984571428571435e-4,0.5648305517304762,0.6274654012953296
5,chi_DRj,Linear Covariate Shift,Spline,9.741471026413389e-23,1.9154074571413532e-4,0.9999999993089814,1
5,chi_DRj,Linear Covariate Shift,Spline + Effect Modification,1.7824290892055818e-4,1.9154074571413408e-4,0.5090693707611756,0.5181289264723807
5,chi_DRj,No Covariate Shift,Constant,1.3530160339398956e-22,0,0,0
5,chi_DRj,No Covariate Shift,Effect Modification,1.8907848075445328e-22,0,0,0
5,chi_DRj,No Covariate Shift,Linear,1.0643705630680315e-22,2.9845714285714286e-4,0.9999999994175691,1
5,chi_DRj,No Covariate Shift,Linear + Effect Modification,1.5566012797285913e-22,2.984571428571436e-4,0.9999999993254628,1
5,chi_DRj,No Covariate Shift,Spline,1.0608516414777098e-22,1.915407457141353e-4,0.9999999992750375,1
5,chi_DRj,No Covariate Shift,Spline + Effect Modification,9.616189782452946e-23,1.915407457141342e-4,0.9999999993052935,1
